,movie_title,genres,runtime_minutes,director_name,director_deathYear
132,Dawn of the Planet of the Apes,"Action,Adventure,Drama",130.0,Matt Reeves,2
133,The Polar Express,"Adventure,Animation,Comedy",100.0,Robert Zemeckis,2
134,Snow White and the Huntsman,"Action,Adventure,Drama",127.0,Rupert Sanders,2
135,Terminator 3: Rise of the Machines,"Action,Sci-Fi",109.0,Jonathan Mostow,2
136,Van Helsing,"Action,Adventure,Fantasy",131.0,Stephen Sommers,2
137,Dumbo,"Adventure,Family,Fantasy",112.0,Tim Burton,2
138,Godzilla: King of the Monsters,"Action,Adventure,Fantasy",132.0,Michael Dougherty,2
139,Tomorrowland,"Action,Adventure,Family",130.0,Brad Bird,2
140,Alita: Battle Angel,"Action,Adventure,Sci-Fi",122.0,Robert Rodriguez,2
141,Alice Through the Looking Glass,"Adventure,Family,Fantasy",113.0,James Bobin,2
142,Jurassic World: Dominion,"Action,Adventure,Sci-Fi",147.0,Colin Trevorrow,2
143,Shrek Forever After,"Adventure,Animation,Comedy",95.0,Mike Mitchell,2
144,Doctor Strange,"Action,Adventure,Fantasy",115.0,Scott Derrickson,2
145,Big Hero 6,"Action,Adventure,Animation",102.0,-,0
146,How to Train Your Dragon,"Action,Adventure,Animation",98.0,-,0
147,Wreck-It Ralph,"Adventure,Animation,Comedy",101.0,Rich Moore,2
148,Interstellar,"Adventure,Drama,Sci-Fi",169.0,Christopher Nolan,2
149,Dune,"Action,Adventure,Drama",155.0,Denis Villeneuve,2
150,Independence Day: Resurgence,"Action,Adventure,Sci-Fi",120.0,Roland Emmerich,2
151,Beauty and the Beast,"Adventure,Family,Fantasy",129.0,Bill Condon,2
152,Aquaman,"Action,Adventure,Fantasy",143.0,James Wan,2
153,Shrek the Third,"Adventure,Animation,Comedy",93.0,-,0
154,Inception,"Action,Adventure,Sci-Fi",148.0,Christopher Nolan,2
155,The Hunger Games: Mockingjay - Part 2,"Action,Adventure,Sci-Fi",137.0,Francis Lawrence,2
156,Godzilla,"Action,Adventure,Sci-Fi",123.0,Gareth Edwards,2
157,X-Men: First Class,"Action,Sci-Fi",131.0,Matthew Vaughn,2
158,The Curious Case of Benjamin Button,"Drama,Fantasy,Romance",166.0,David Fincher,2
159,The Sorcerer's Apprentice,"Action,Adventure,Family",109.0,Jon Turteltaub,2
160,Poseidon,"Action,Adventure,Thriller",98.0,Wolfgang Petersen,2022
161,Warcraft,"Action,Adventure,Fantasy",123.0,Duncan Jones,2
162,Deepwater Horizon,"Action,Drama,History",107.0,Peter Berg,2
163,Godzilla vs. Kong,"Action,Sci-Fi,Thriller",113.0,Adam Wingard,2
164,Pacific Rim: Uprising,"Action,Adventure,Fantasy",111.0,Steven S. DeKnight,2
165,Alexander,"Action,Biography,Drama",175.0,Oliver Stone,2
166,War for the Planet of the Apes,"Action,Adventure,Drama",140.0,Matt Reeves,2
167,Pearl Harbor,"Action,Drama,History",183.0,Michael Bay,2
168,Transformers,"Action,Adventure,Sci-Fi",144.0,Michael Bay,2
169,Frozen II,"Adventure,Animation,Comedy",103.0,-,0
170,Wonder Woman,"Action,Adventure,Fantasy",141.0,Patty Jenkins,2
171,Frozen,"Adventure,Animation,Comedy",102.0,-,0
172,Zootopia,"Adventure,Animation,Comedy",108.0,-,0
173,Harry Potter and the Order of the Phoenix,"Action,Adventure,Family",138.0,David Yates,2
174,Harry Potter and the Goblet of Fire,"Adventure,Family,Fantasy",157.0,Mike Newell,2
175,The Matrix Reloaded,"Action,Sci-Fi",138.0,-,0
176,Moana,"Adventure,Animation,Comedy",107.0,-,0
177,Hancock,"Action,Drama,Fantasy",92.0,Peter Berg,2
178,Shang-Chi and the Legend of the Ten Rings,"Action,Adventure,Fantasy",132.0,Destin Daniel Cretton,2
179,Charlie and the Chocolate Factory,"Adventure,Comedy,Family",115.0,Tim Burton,2
180,Ratatouille,"Adventure,Animation,Comedy",111.0,-,0
181,Thor: The Dark World,"Action,Adventure,Fantasy",112.0,Alan Taylor,2
182,Batman Begins,"Action,Crime,Drama",140.0,Christopher Nolan,2
183,Dunkirk,"Action,Drama,History",106.0,Christopher Nolan,2
184,Thor,"Action,Fantasy",115.0,Kenneth Branagh,2
185,Madagascar: Escape 2 Africa,"Adventure,Animation,Comedy",89.0,-,0
186,X-Men Origins: Wolverine,"Action,Sci-Fi",107.0,Gavin Hood,2
187,Night at the Museum: Battle of the Smithsonian,"Adventure,Comedy,Family",105.0,Shawn Levy,2
188,Kung Fu Panda 2,"Action,Adventure,Animation",90.0,Jennifer Yuh Nelson,2
189,Mad Max: Fury Road,"Action,Adventure,Sci-Fi",120.0,George Miller,2
190,The Matrix Revolutions,"Action,Sci-Fi",129.0,-,0
191,Ready Player One,"Action,Adventure,Sci-Fi",140.0,Steven Spielberg,2
192,Chicken Little,"Adventure,Animation,Comedy",81.0,Mark Dindal,2
193,Mission: Impossible III,"Action,Adventure,Thriller",126.0,J.J. Abrams,2
194,Angels & Demons,"Action,Mystery,Thriller",138.0,Ron Howard,2
195,Troy,Drama,163.0,Wolfgang Petersen,2022
196,The Last Airbender,"Action,Adventure,Family",103.0,M. Night Shyamalan,2
197,Bee Movie,"Adventure,Animation,Comedy",91.0,-,0
